transliteration,period,morphology,sorting,frequency,cognate,function,variant,number,person,rich,semantics,affix
mu-ši-um-me,achE,account-INANIM,mus~iumme,,,noun,"mu-ši-in+-me, mu-šá-me, mu-ši-me, mu-iš-šá-um-me, mu-iš-ši-um-me",Sg.,3rd INANIM.,"<qt><font color=""#690000"">mu</font>-<font color=""#c30000"">ši</font>-<font color=""#690000"">um</font>-<font color=""#9b0000"">me</font></qt>",,
muš-nu-qa,"nE, achE",mischief,mus~nuqa,1,,noun,h.mi-iš-na-qa,,,"<qt><font color=""#b40000"">muš</font>-nu-<font color=""#9b0000"">ka<small>4</small></font></qt>",,
muš-nu-qa-ra,nE,mischief-SG,mus~nuqara,,,noun,muš-nu-qa,,,"<qt><font color=""#b40000"">muš</font>-nu-<font color=""#9b0000"">ka<small>4</small></font>-<font color=""#690000"">ra</font></qt>",,
h.muš-zí,achE,,mus~zi,,,noun,,,,"<qt><font color=""#c30000"">h</font>.<font color=""#b40000"">muš</font>-<font color=""#690000"">zí</font></qt>",,
h.muš-zí-ir-ri,achE,,mus~ziirri,,,noun,h.muš-zí,,,"<qt><font color=""#c30000"">h</font>.<font color=""#b40000"">muš</font>-<font color=""#690000"">zí</font>-ir-<font color=""#9b0000"">ri</font></qt>",,
mut,nE,portion,mut,,,noun,"mi-it, mi-ut",,,"<qt><font color=""#690000"">mut</font></qt>",,
GIŠ.mut,nE,,mut,,,noun,,,,"<qt><font color=""#b40000"">GIŠ</font>.<font color=""#690000"">mut</font></qt>",,
f.mu-tar,achE,woman,mutar,,,noun,mu-h-ti-ir-ri,,,"<qt><font color=""#e10000"">f</font>.<font color=""#690000"">mu</font>-<font color=""#c30000"">tar</font></qt>",,
f.mu-ti,achE,woman,muti,,,noun,mu-h-ti-ir-ri,,,"<qt><font color=""#e10000"">f</font>.<font color=""#690000"">mu</font>-<font color=""#690000"">ti</font></qt>",,
f.mu-tur,achE,woman,mutur,,,noun,mu-h-ti-ir-ri,,,"<qt><font color=""#e10000"">f</font>.<font color=""#690000"">mu</font>-<font color=""#b40000"">tur</font></qt>",,
