transliteration,period,morphology,sorting,frequency,cognate,function,variant,number,person,rich,semantics,affix
la-ni-ya,"mE, nE",silver-ya,laniya,,,adjective,,,,"<qt>la-<font color=""#c30000"">ni</font>-<font color=""#9b0000"">ya</font></qt>",,
2.la-qa,achE,la-k,laqa,,,adjective,"la-ak-qa, la-ik",,,"<qt>la-<font color=""#9b0000"">ka<small>4</small></font></qt>",,
h.li-du-man-na,achE,,lidumanna,,,adjective,li-du-ma,,,"<qt><font color=""#c30000"">h</font>.li-<font color=""#9b0000"">du</font>-<font color=""#690000"">man</font>-na</qt>",,
li-im-ma-ak,mE,burn-PASS.PTCP,liimmaak,1,,adjective,li-ma-ak,,,"<qt>li-<font color=""#b40000"">im</font>-<font color=""#b40000"">ma</font>-<font color=""#690000"">ak</font></qt>",,-k
li-ip-pu,achE,concerning,liippu,1,,adjective,,,,"<qt>li-<font color=""#690000"">ip</font>-<font color=""#9b0000"">pu</font></qt>",,
li-lu,"mE, achE",come.forth,lilu,,,adjective,ki-ik.li-lu,,,"<qt>li-<font color=""#690000"">lu</font></qt>",,
li-ma,"mE, nE",gift-in,lima,,,adjective,li-na,,,"<qt>li-<font color=""#b40000"">ma</font></qt>",,-na
li-ma-an,nE,give2-DUR-ACT.PTCP,limaan,,,adjective,,,,"<qt>li-<font color=""#b40000"">ma</font>-<font color=""#c30000"">an</font></qt>",,-man
li-ma-ak,"oE, nE",burn-PASS.PTCP,limaak,,,adjective,li-im-ma-ak,,,"<qt>li-<font color=""#b40000"">ma</font>-<font color=""#690000"">ak</font></qt>",,
li-man-na,nE,,limanna,,,adjective,li-man-in-ri,,,"<qt>li-<font color=""#690000"">man</font>-na</qt>",,
li-man-ni,nE,,limanni,,,adjective,li-man-na,,,"<qt>li-<font color=""#690000"">man</font>-<font color=""#c30000"">ni</font></qt>",,
li-man-pi,achE,give2-DUR-ACT.PTCP-3PL.AGR,limanpi,,,adjective,,Pl.,3rd Anim.,"<qt>li-<font color=""#690000"">man</font>-<font color=""#de0000"">pi</font></qt>",,-man
li-mín-na,nE,,liminna,,,adjective,,,,"<qt>li-<font color=""#e10000"">mín</font>-na</qt>",,
li-na,mE,gift,lina,1,,adjective,"li-na-pu-un, il-li-na",,,<qt>li-na</qt>,,-na
li-na-a[k-k]án,achE,lina,linaakkan,,,adjective,2.li-na,,,"<qt>li-na-<font color=""#690000"">ak</font>-<font color=""#690000"">kán</font></qt>",,
li-ri-ma,achE,lir,lirima,,,adjective,,,,"<qt>li-<font color=""#9b0000"">ri</font>-<font color=""#b40000"">ma</font></qt>",,
li-ri-ma-nu,achE,lir,lirimanu,,,adjective,,,,"<qt>li-<font color=""#9b0000"">ri</font>-<font color=""#b40000"">ma</font>-nu</qt>",,
li-ut-tuk-na,nE,,liuttukna,,,adjective,,,,"<qt>li-<font color=""#d50000"">ut</font>-<font color=""#b40000"">tuk</font>-na</qt>",,
hh.LUGÀL.ik,achE,,lugalik,1,,adjective,hh.LUGÀL.ik-ki,Sg.,1st,"<qt><font color=""#9b0000"">hh</font>.<font color=""#690000"">LUGÀL</font>.<font color=""#c30000"">ik</font></qt>",,
hh.LUGÀL.ik-ki,achE,king-towards,lugalikki,1,,adjective,hh.LUGÀL.ik-qa,Sg.,1st,"<qt><font color=""#9b0000"">hh</font>.<font color=""#690000"">LUGÀL</font>.<font color=""#c30000"">ik</font>-<font color=""#690000"">ki</font></qt>",,
hh.LUGÀL.ik-mar,achE,,lugalikmar,,,adjective,,,,"<qt><font color=""#9b0000"">hh</font>.<font color=""#690000"">LUGÀL</font>.<font color=""#c30000"">ik</font>-<font color=""#9b0000"">mar</font></qt>",,
hh.LUGÀL.ik-qa,achE,,lugalikqa,,,adjective,"hh.LUGÀL.ik, hh.LUGÀL.ik-ki",,,"<qt><font color=""#9b0000"">hh</font>.<font color=""#690000"">LUGÀL</font>.<font color=""#c30000"">ik</font>-<font color=""#9b0000"">ka<small>4</small></font></qt>",,
hh.LUGÀL.ik-qa-mar,achE,,lugalikqamar,,,adjective,hh.LUGÀL.ik-mar,,,"<qt><font color=""#9b0000"">hh</font>.<font color=""#690000"">LUGÀL</font>.<font color=""#c30000"">ik</font>-<font color=""#9b0000"">ka<small>4</small></font>-<font color=""#9b0000"">mar</font></qt>",,
v.LUGÀL.ip-ir-ra,achE,king-PL-3SG.AGR,lugalipirra,,,adjective,,,,"<qt><font color=""#690000"">v</font>.<font color=""#690000"">LUGÀL</font>.<font color=""#690000"">ip</font>-ir-<font color=""#690000"">ra</font></qt>",,
v.LUGÀL.ip-in-na,achE,king-PL-GEN,lugalipinna,,,adjective,,,,"<qt><font color=""#690000"">v</font>.<font color=""#690000"">LUGÀL</font>.<font color=""#690000"">ip</font>-in-na</qt>",,
v.LUGÀL.ip-na,achE,king-PL-GEN,lugalipna,1,,adjective,v.LUGÀL.ip-in-na,Pl.,3rd Anim.,"<qt><font color=""#690000"">v</font>.<font color=""#690000"">LUGÀL</font>.<font color=""#690000"">ip</font>-na</qt>",,-na
