transliteration,period,morphology,sorting,frequency,cognate,function,variant,number,person,rich,semantics,affix
du-nu-ak,achE,give-PASS.PTCP,dunuak,3,,verb,du-nu-ik,,,"<qt><font color=""#9b0000"">du</font>-nu-<font color=""#690000"">ak</font></qt>",,-k
2.du-nu-iš,achE,give-3PL,dunuis~,1,,verb,,Pl.,3rd Anim.,"<qt><font color=""#9b0000"">du</font>-nu-iš</qt>",,
du-nu-un-ku-mar,nE,give-ACT.PCTP-1SG-mar,dunuunkumar,4,,verb,,Sg.,1st,"<qt><font color=""#9b0000"">du</font>-nu-<font color=""#b40000"">un</font>-<font color=""#d50000"">ku</font>-<font color=""#9b0000"">mar</font></qt>",,-mar
du-nu-qa,"nE, achE",give-PASS.PTCP,dunuqa,27,,verb,du-na-qa,,,"<qt><font color=""#9b0000"">du</font>-nu-<font color=""#9b0000"">ka<small>4</small></font></qt>",,-ka
du-nu-iš-ti,achE,give-3SG-da,dunuis~ti,2,,verb,,Sg.,3rd Anim.,"<qt><font color=""#9b0000"">du</font>-nu-iš-<font color=""#690000"">ti</font></qt>",,
du-nu-šá,achE,give-3SG-ša,dunus~a,1,,verb,,Sg.,3rd Anim.,"<qt><font color=""#9b0000"">du</font>-nu-<font color=""#c30000"">šá</font></qt>",,-ša
du-nu-uš,nE,give-3SG,dunuus~,2,,verb,du-na-áš,Sg.,3rd Anim.,"<qt><font color=""#9b0000"">du</font>-nu-uš</qt>",,
2.du-nu-iš-ti,achE,give-3PL-da,dunuis~ti,1,,verb,,Pl.,3rd Anim.,"<qt><font color=""#9b0000"">du</font>-nu-iš-<font color=""#690000"">ti</font></qt>",,
du-qa,"mE, achE",receive-PASS.PTCP,duqa,25,,verb,"du-ik-qa, tu4-qa, du-uk, du-ú-qa",,,"<qt><font color=""#9b0000"">du</font>-<font color=""#9b0000"">ka<small>4</small></font></qt>",,
du-qa-iš-da,achE,duka-3SG-da,duqais~da,1,,verb,du-ik-kaš-da,Sg.,3rd Anim.,"<qt><font color=""#9b0000"">du</font>-<font color=""#9b0000"">ka<small>4</small></font>-iš-<font color=""#9b0000"">da</font></qt>",,-da
du-qa-ki,achE,duka-ka,duqaki,,,verb,du-qa-qa,,,"<qt><font color=""#9b0000"">du</font>-<font color=""#9b0000"">ka<small>4</small></font>-<font color=""#690000"">ki</font></qt>",,-ka
du-qa-qa,mE,duka-ka,duqaqa,1,,verb,"du-ud-qa-qa, du-uk-kak-qa, du-uk-qa-qa, du-qa-ki",,,"<qt><font color=""#9b0000"">du</font>-<font color=""#9b0000"">ka<small>4</small></font>-<font color=""#9b0000"">ka<small>4</small></font></qt>",,-ka
tu4-qa,nE,receive-PASS.PTCP,duqa,1,,verb,du-qa,,,"<qt><font color=""#b40000"">tu<sub><small>4</small></sub></font>-<font color=""#9b0000"">ka<small>4</small></font></qt>",,-ka
tu-ri-en,nE,carry.out-ACT.PTCP,durien,1,,verb,ti-ri,,,"<qt>tu-<font color=""#9b0000"">ri</font>-<font color=""#690000"">en</font></qt>",,
tu4-[r]i-ha,nE,say-1SG-da,duriha,1,,verb,"tu4-ru-ha, ti-ri",Sg.,1st,"<qt><font color=""#b40000"">tu<sub><small>4</small></sub></font>-<font color=""#9b0000"">ri</font>-<font color=""#690000"">ha</font></qt>",,
[tur]-na,achE,know-2SG,durna,,,verb,tur-na-iš,Sg.,2nd,"<qt><font color=""#b40000"">tur</font>-na</qt>",,
[tur]-na-h-iš-da,nE,know-3PL-da,durnahis~da,1,,verb,,Pl.,3rd Anim.,"<qt><font color=""#b40000"">tur</font>-na-<font color=""#d50000"">h</font>-iš-<font color=""#9b0000"">da</font></qt>",,-da
