transliteration,period,morphology,sorting,frequency,cognate,function,variant,number,person,rich,semantics,affix
h.ru-du-in-ma-ut-ti,achE,vrdunvatīš,ruduinmautti,,vrdunvatīš,GN,h.ir-du-nu-ut-ti-iš,,,"<qt><font color=""#c30000"">h</font>.<font color=""#b40000"">ru</font>-<font color=""#9b0000"">du</font>-in-<font color=""#b40000"">ma</font>-<font color=""#d50000"">ut</font>-<font color=""#690000"">ti</font></qt>",location,
h.ru-me-ya,achE,,rumeya,,,GN,,,,"<qt><font color=""#c30000"">h</font>.<font color=""#b40000"">ru</font>-<font color=""#9b0000"">me</font>-<font color=""#9b0000"">ya</font></qt>",location,
h.ru-na-a[n],achE,,runaan,,,GN,,,,"<qt><font color=""#c30000"">h</font>.<font color=""#b40000"">ru</font>-na-<font color=""#c30000"">an</font></qt>",location,
h.ru-tan-nu-iz-za-an,achE,Rautanayača-LOC2,rutannuizzaan,1,rautanayača,GN,h.ra-u-da-nu-iz-za,,,"<qt><font color=""#c30000"">h</font>.<font color=""#b40000"">ru</font>-<font color=""#c30000"">tan</font>-nu-<font color=""#b40000"">iz</font>-<font color=""#690000"">za</font>-<font color=""#c30000"">an</font></qt>",location,
h.ru-ti-nu-iz-za-an,achE,Rautanayača-LOC2,rutinuizzaan,1,rautanayača,GN,h.ru-tan-nu-iz-za-an,,,"<qt><font color=""#c30000"">h</font>.<font color=""#b40000"">ru</font>-<font color=""#690000"">ti</font>-nu-<font color=""#b40000"">iz</font>-<font color=""#690000"">za</font>-<font color=""#c30000"">an</font></qt>",location,
ru-uk.si-nu-um,oE,,ruuksinuum,,,GN,,,,"<qt><font color=""#b40000"">ru</font>-<font color=""#9b0000"">uk</font>.<font color=""#690000"">si</font>-nu-<font color=""#690000"">um</font></qt>",location,
v.sa-ad-da-ku-iš,achE,Sattagydia,saaddakuis~,,ϑataguš,GN,"v.sa-ud-da-ku-iš, h.sa-da-ku",,,"<qt><font color=""#690000"">v</font>.<font color=""#690000"">sa</font>-<font color=""#690000"">ad</font>-<font color=""#9b0000"">da</font>-<font color=""#d50000"">ku</font>-iš</qt>",location,
KUR.URU.sa-al-at-ri,nA,,saalatri,1,,GN,,,,"<qt><font color=""#cd0000"">KUR</font>.<font color=""#690000"">URU</font>.<font color=""#690000"">sa</font>-al-<font color=""#690000"">at</font>-<font color=""#9b0000"">ri</font></qt>",city,
URU.sa-am-ú-na,nA,,saamuna,,,GN,,,,"<qt><font color=""#690000"">URU</font>.<font color=""#690000"">sa</font>-am-<font color=""#9b0000"">ú</font>-na</qt>",city,
v.sa-ar-bu[r?-…],oE,,saarbur,,,GN,,,,"<qt><font color=""#690000"">v</font>.<font color=""#690000"">sa</font>-ar-<font color=""#690000"">bur</font>-<font color=""#9b0000"">…</font></qt>",location,
