transliteration,period,morphology,sorting,frequency,cognate,function,variant,number,person,rich,semantics,affix
hh.šá-a-ud-da,achE,xšaita,s~aaudda,,xšaita,PN,hh.šá-a-da,,,"<qt><font color=""#9b0000"">hh</font>.<font color=""#c30000"">šá</font>-<font color=""#690000"">a</font>-<font color=""#d50000"">ud</font>-<font color=""#9b0000"">da</font></qt>",man,
hh.šá?-ba?-du-iš,achE,,s~abaduis~,,,PN,,,,"<qt><font color=""#9b0000"">hh</font>.<font color=""#c30000"">šá</font>-<font color=""#9b0000"">ba</font>-<font color=""#9b0000"">du</font>-iš</qt>",man,
hh.šá-bar-ráš-da-na,achE,xšap-parastāna,s~abarras~dana,,xšap-parastāna,PN,,,,"<qt><font color=""#9b0000"">hh</font>.<font color=""#c30000"">šá</font>-<font color=""#de0000"">bar</font>-<font color=""#b40000"">ráš</font>-<font color=""#9b0000"">da</font>-na</qt>",man,
hh.šá-ba-ud-da,achE,sapāta,s~abaudda,,sapāta,PN,"hh.šá-ab-ba-ad-d[a], hh.sa-ba-da",,,"<qt><font color=""#9b0000"">hh</font>.<font color=""#c30000"">šá</font>-<font color=""#9b0000"">ba</font>-<font color=""#d50000"">ud</font>-<font color=""#9b0000"">da</font></qt>",man,
ša-ba-za-am,oE,,s~abazaam,,,PN,,,,"<qt>ša-<font color=""#9b0000"">ba</font>-<font color=""#690000"">za</font>-am</qt>",man,
ša-bu-gi?,oE,,s~abugi,,,PN,,,,"<qt>ša-<font color=""#9b0000"">bu</font>-<font color=""#9b0000"">gi</font></qt>",man,
hh.šá-da,achE,šyāta,s~ada,,šyāta,PN,šá-da,,,"<qt><font color=""#9b0000"">hh</font>.<font color=""#c30000"">šá</font>-<font color=""#9b0000"">da</font></qt>",man,
hh.šá-da-áš-ba,achE,satāspa,s~adaas~ba,,satāspa,PN,hh.šá-ad-da-áš-ba,,,"<qt><font color=""#9b0000"">hh</font>.<font color=""#c30000"">šá</font>-<font color=""#9b0000"">da</font>-<font color=""#9b0000"">áš</font>-<font color=""#9b0000"">ba</font></qt>",man,
hh.šá-da-ku-iš,achE,satagu-š,s~adakuis~,,satagu,PN,hh.sa-da-ku-iš,,,"<qt><font color=""#9b0000"">hh</font>.<font color=""#c30000"">šá</font>-<font color=""#9b0000"">da</font>-<font color=""#d50000"">ku</font>-iš</qt>",man,
hh.šá-da-mi-šá,achE,satavaisa,s~adamis~a,,satavaisa,PN,,,,"<qt><font color=""#9b0000"">hh</font>.<font color=""#c30000"">šá</font>-<font color=""#9b0000"">da</font>-mi-<font color=""#c30000"">šá</font></qt>",man,
