transliteration,period,morphology,sorting,frequency,cognate,function,variant,number,person,rich,semantics,affix
d.ki-ir-wa-si-ir,oE,kirwäs,giirwasiir,2,,DN,,Sg.,3rd Anim.,"<qt><font color=""#c30000"">d</font>.<font color=""#690000"">ki</font>-ir-<font color=""#de0000"">wa</font>-<font color=""#690000"">si</font>-ir</qt>",divine,
d.ki-la-h.šu-pi-ir,mE,Kilahšupir,gilas~upiir,1,,DN,d.ki-la-h.šu-bi-ir,,,"<qt><font color=""#c30000"">d</font>.<font color=""#690000"">ki</font>-la-<font color=""#d50000"">h</font>.<font color=""#9b0000"">šu</font>-<font color=""#de0000"">pi</font>-ir</qt>",divine,
d.ki-la-h.šu-bi-ir,oE,Kilahšupir,gilas~ubiir,1,,DN,"ku-uk.ki-la-h.šu-bi-ir, d.ki-la-h.šu-pi-ir",,,"<qt><font color=""#c30000"">d</font>.<font color=""#690000"">ki</font>-la-<font color=""#d50000"">h</font>.<font color=""#9b0000"">šu</font>-<font color=""#de0000"">bi</font>-ir</qt>",divine,
ki-la-la,oE,,gilala,1,,DN,f.ú-du-uk.ki-la-la,,,"<qt><font color=""#690000"">ki</font>-la-la</qt>",divine,
d.ki-li-man,nE,,giliman,2,,DN,,,,"<qt><font color=""#c30000"">d</font>.<font color=""#690000"">ki</font>-li-<font color=""#690000"">man</font></qt>",divine,
d.kir-wa-si-ir,oE,Kirwäsir,girwasiir,1,,DN,d.kir-ma-sir,,,"<qt><font color=""#c30000"">d</font>.<font color=""#b40000"">kir</font>-<font color=""#de0000"">wa</font>-<font color=""#690000"">si</font>-ir</qt>",divine,
d.gu-[gu?].mu-uk-ti-ir,oE,Gugumuktir,gugumuuktiir,1,,DN,gu-gu,,,"<qt><font color=""#c30000"">d</font>.<font color=""#690000"">gu</font>-<font color=""#690000"">gu</font>.<font color=""#690000"">mu</font>-<font color=""#9b0000"">uk</font>-<font color=""#690000"">ti</font>-ir</qt>",divine,
d.hu-um-ban,nE,Humban,huumban,1,,DN,"d.hu-um-ban.nu-me-en-na, f.ku-ri.hu-um-ba-an, d.hu-ban",,,"<qt><font color=""#c30000"">d</font>.<font color=""#d50000"">hu</font>-<font color=""#690000"">um</font>-<font color=""#9b0000"">ban</font></qt>",divine,
d.ma-áš-ti,mE,,maas~ti,,,DN,"v.áš-ta-ma-áš-ti, h.ku-ku.ma-áš-ti",,,"<qt><font color=""#c30000"">d</font>.<font color=""#b40000"">ma</font>-<font color=""#9b0000"">áš</font>-<font color=""#690000"">ti</font></qt>",divine,
d.si-im-it.sa-ra-r[a]-a[r],oE,Simitsararar,siimitsararaar,1,,DN,te-im-ti,,,"<qt><font color=""#c30000"">d</font>.<font color=""#690000"">si</font>-<font color=""#b40000"">im</font>-<font color=""#690000"">it</font>.<font color=""#690000"">sa</font>-<font color=""#690000"">ra</font>-<font color=""#690000"">ra</font>-ar</qt>",divine,
d.iš-me-ka-ra-ab,,Išmekarāb,is~mekaraab,,išmekarāb,DN,"d.iš-ni-ka-ra-ab, d.iš-ni-qa-ra-ab, ku-uk.d.iš-me-ka-ra-ab",,,"<qt><font color=""#c30000"">d</font>.iš-<font color=""#9b0000"">me</font>-ka-<font color=""#690000"">ra</font>-<font color=""#9b0000"">ab</font></qt>",divine,
d.iš-mi-ti-ik,mE,,is~mitiik,,,DN,d.hi-iš-mi-ti-ik,,,"<qt><font color=""#c30000"">d</font>.iš-mi-<font color=""#690000"">ti</font>-<font color=""#c30000"">ik</font></qt>",divine,
d.iš-ni-ka-ra-ab,"mE, nE",Išmekarāb,is~nikaraab,1,išmekarāb,DN,d.iš-me-ka-ra-ab,,,"<qt><font color=""#c30000"">d</font>.iš-<font color=""#c30000"">ni</font>-ka-<font color=""#690000"">ra</font>-<font color=""#9b0000"">ab</font></qt>",divine,
d.iš-ni-qa-ra-ab,mE,Išmekarāb,is~niqaraab,,išmekarāb,DN,d.iš-me-ka-ra-ab,,,"<qt><font color=""#c30000"">d</font>.iš-<font color=""#c30000"">ni</font>-<font color=""#9b0000"">ka<small>4</small></font>-<font color=""#690000"">ra</font>-<font color=""#9b0000"">ab</font></qt>",divine,
na-ru-un-te,oE,Narunde,naruunte,,,DN,d.na-ru-de,,,"<qt>na-<font color=""#b40000"">ru</font>-<font color=""#b40000"">un</font>-te</qt>",divine,
d.[n]a-ru-dè,oE,,narude,1,,DN,d.na-ru-de,,,"<qt><font color=""#c30000"">d</font>.na-<font color=""#b40000"">ru</font>-<font color=""#d50000"">dè</font></qt>",divine,
d.na-ru-de,oE,Narunde,narude,,,DN,"d.na-ru-te, d.na-ru-ti, d.na-ru-un-de, na-ru-un-te, ku-uk.na-ru-de, h.ku-uk.na-ru-de",,,"<qt><font color=""#c30000"">d</font>.na-<font color=""#b40000"">ru</font>-<font color=""#00ff00"">de</font></qt>",divine,
d.na-ru-te,oE,Narunde,narute,,,DN,d.na-ru-de,,,"<qt><font color=""#c30000"">d</font>.na-<font color=""#b40000"">ru</font>-te</qt>",divine,
d.na-ru-ti,oE,Narunde,naruti,,,DN,d.na-ru-de,,,"<qt><font color=""#c30000"">d</font>.na-<font color=""#b40000"">ru</font>-<font color=""#690000"">ti</font></qt>",divine,
d.na-ru-un-de,oA,Narunde,naruunde,,,DN,d.na-ru-de,,,"<qt><font color=""#c30000"">d</font>.na-<font color=""#b40000"">ru</font>-<font color=""#b40000"">un</font>-<font color=""#00ff00"">de</font></qt>",divine,
na-ru-un-te,oE,Narunde,naruunte,,,DN,d.na-ru-de,,,"<qt>na-<font color=""#b40000"">ru</font>-<font color=""#b40000"">un</font>-te</qt>",divine,
d.na-ru14-dè,oE,Narunde,naru14de,1,,DN,d.na-ru-de,,,"<qt><font color=""#c30000"">d</font>.na-<font color=""#690000"">ru<sub><small>14</small></sub></font>-<font color=""#d50000"">dè</font></qt>",divine,
na-šu-ur,oE,našur,nas~uur,,,DN,"ku-uk.d.na-šu-ur, na-šu-[ur?]",,,"<qt>na-<font color=""#9b0000"">šu</font>-<font color=""#b40000"">ur</font></qt>",divine,
d.ku-zi-iz,oE,,guziiz,,,DN,,,,"<qt><font color=""#c30000"">d</font>.<font color=""#d50000"">ku</font>-<font color=""#690000"">zi</font>-<font color=""#b40000"">iz</font></qt>",divine,
d.hal-ma,achE,,halma,,,DN,,,,"<qt><font color=""#c30000"">d</font>.<font color=""#9b0000"">hal</font>-<font color=""#b40000"">ma</font></qt>",divine,
d.har-te-[…],nE,,harte,,,DN,,,,"<qt><font color=""#c30000"">d</font>.<font color=""#cd0000"">har</font>-te-<font color=""#9b0000"">…</font></qt>",divine,
d.ha-ul-la?-[áš?]-šu,nE,,haullaas~s~u,,,DN,,,,"<qt><font color=""#c30000"">d</font>.<font color=""#690000"">ha</font>-ul-la-<font color=""#9b0000"">áš</font>-<font color=""#9b0000"">šu</font></qt>",divine,
d.hi-iš-mi-di-ik,mE,Hišmitik,hiis~midiik,1,,DN,d.hi-iš-mi-ti-ik,,,"<qt><font color=""#c30000"">d</font>.<font color=""#c30000"">hi</font>-iš-mi-di-<font color=""#c30000"">ik</font></qt>",divine,
d.hi-iš-mi-ti-ik,mE,Hišmitik,hiis~mitiik,,,DN,"d.iš-mi-ti-ik, d.hi-iš-mi-di-ik",,,"<qt><font color=""#c30000"">d</font>.<font color=""#c30000"">hi</font>-iš-mi-<font color=""#690000"">ti</font>-<font color=""#c30000"">ik</font></qt>",divine,
d.hu-ban.e-lu,mE,Humban-elû,hubanelu,,elû,DN,,,,"<qt><font color=""#c30000"">d</font>.<font color=""#d50000"">hu</font>-<font color=""#9b0000"">ban</font>.<font color=""#690000"">e</font>-<font color=""#690000"">lu</font></qt>",divine,
d.hum-ba,Akk,,humba,1,,DN,"URU.til.d.hum-ba, d.hu-ban",,,"<qt><font color=""#c30000"">d</font>.<font color=""#00ff00"">hum</font>-<font color=""#9b0000"">ba</font></qt>",divine,
d.hum-ba-an,Akk,,humbaan,,,DN,d.hu-ban,,,"<qt><font color=""#c30000"">d</font>.<font color=""#00ff00"">hum</font>-<font color=""#9b0000"">ba</font>-<font color=""#c30000"">an</font></qt>",divine,
hu-ri-in,,Hurin,huriin,1,,DN,,,,"<qt><font color=""#d50000"">hu</font>-<font color=""#9b0000"">ri</font>-in</qt>",divine,
d.hu-sa,"oE, nE",tree,husa,,,DN,,,,"<qt><font color=""#c30000"">d</font>.<font color=""#d50000"">hu</font>-<font color=""#690000"">sa</font></qt>",divine,
